English,Russian
I,я
of,из
is,является
not,нет
you,ты
you,ты
than,чем
he,он
and,и
at,в
at,в
born,родившийся
this,это
in,в
we,мы
have,имеют
for,за
of the,из
who,ВОЗ
we,мы
there,там
But,Но
me,мне
in,в
of,из
good,хороший
she,она
if,если
all,все
more,более
no,нет
my,мой
am,являюсь
you,ты
at,в
with,с
go,идти
you,ты
made,сделали
they,Oни
ace,туз
be,быть
to do,сделать
himself,сам
as,в качестве
was,был
sure,Конечно
what,Какие
here,здесь
know,знать
him,ему
want,хотеть
my,мой
the,
nothing,ничего
said,сказал
your,ваш
Why,Почему
this,это
when,когда
by,к
his,его
your,ваш
can,может
am going to,я собираюсь
say,сказать
so,так
How? 'Or' What,Как? 'Или что
have,имеют
Well,Что ж
or,или же
very,очень
thank you,Спасибо
have,имеют
even,четное
never,никогда
too,тоже
thing,вещь
going,собирается
all,все
of them,их
these,эти
should,должен
her,ее
are,находятся
summer,летом
your,ваш
do,делать
to have,иметь
can,может
other,Другой
again,опять таки
now,сейчас же
little,маленький
my,мой
really,В самом деле
time,время
our,наш
always,всегда
life,жизнь
without,без
fair,справедливый
Oh,ой
had,имел
agreement,соглашение
seen,видимый
world,Мир
some,немного
times,раз
to go,идти
too much,слишком много
come,приехать
think,считать
God,Бог
have,имеют
man,человек
dad,папа
sure,Конечно
to the,в
their,их
before,перед
was,был
need,необходимость
women,женщины
love,люблю
no one,никто
had,имел
in,в
true,истинный
wrong,неправильный
his,его
speak,разговаривать
your,ваш
after,после
death,смерть
wants,желания
had,имел
will be,будет
good,хороший
by,к
better,лучше
small,маленький
here,здесь
your,ваш
it,Это
tell,рассказать
a lot,много
since,поскольку
must,должен
see,видеть
mother,мать
going,собирается
gentleman,джентльмен
what,Какие
already,уже
people,люди
so,так
day,день
evening,вечер
other,Другой
ii,б
all,все
Hello,Привет
It,Это
House,жилой дом
last name,фамилия
silver,серебро
our,наш
yeah,Да
thought,мысль
Fuck,Блядь
night,ночь
dad,папа
it,Это
Hi,Здравствуй
this,это
have,имеют
rest,отдых
sorry,Извините
mom,Мама
fear,страх
come,приехать
alone,один
quickly,быстро
take,брать
looked,смотрел
air,воздуха
is,является
three,три
what,Какие
past,прошлый
know,знать
please,пожалуйста
things,вещи
less,меньше
son,сын
Between,Между
low,низкий
call,вызов
past,прошлый
ha,ха
head,голова
tomorrow,завтра
tall,высокий
stopped,остановился
make,делать
want,хотеть
Hey,Привет
hold on,Подожди
huh,Хм
children,дети
enough,довольно
reason,причина
would,бы
wanted,в розыске
they,Oни
speak,разговаривать
okay,Ладно
of,из
moment,момент
hour,час
then,тогда
guys,ребята
men,люди
love,люблю
late,поздно
all,все
are,находятся
kill,убийство
eh,а
friend,друг
know,знать
small,маленький
help,помощь
luck,удача
know,знать
go,идти
know,знать
how much,сколько
car,машина
so,так
taken,взятый
go,идти
problem,проблема
take,брать
door,дверь
stroke,Инсульт
would be,было бы
come,приехать
hui,хуэй
family,семья
job,работа
could,мог
only,Только
meaning,смысл
or,или же
let's go,погнали
meet again,Встретимся снова
idea,идея
whore,шлюха
pass,проходить
against,против
heard,слышал
find,найти
find,найти
old,Старый
just,только
while,пока
would have,будет иметь
a few,немного
Warning,Предупреждение
request,запрос
look for,Ищу
under,под
here is,здесь
could,мог
blood,кровь
can,может
exit,выход
question,вопрос
history,история
friends,друзья
come,приехать
brother,брат
stay,оставаться
finished,законченный
city,город
new,новый
thing,вещь
here,здесь
month,месяц
guy,парень
eyes,глаза
leash,привязь
Great,Большой
pretty,симпатичный
long time,много времени
police,полиция
water,воды
hours,часы
because,потому что
imported,импортный
case,дело
will,буду
each,каждый
square,квадрат
kill,убийство
type,тип
hand,рука
sorry,Извините
together,вместе
only,Только
handsome,красивый
towards,к
Mrs,Г-жа
pray,молиться
in front of,перед
find,найти
part,часть
after,после
including,включая
morning,утро
their,их
no,нет
come,приехать
above,над
sweetheart,дорогой
to put,положить
help,помощь
ie,т.е.
lost,потерял
end,конец
be,быть
first,первый
kind,своего рода
would like to,хотел бы
law,закон
given,данный
Wait,Ждать
young,молодой
should,должен
child,ребенок
bedroom,Спальня
large,большой
side,сторона
came,пришел
far,далеко
let,позволять
give,дайте
to play,играть
knew,знал
account,учетная запись
s,s
speak,разговаривать
minutes,минут
look,Смотреть
train,тренироваться
first,первый
power,мощность
will have,буду иметь
die,умереть
latest,самый последний
given,данный
ia,я
husband,муж
listen,Слушать
finally,наконец-то
should,должен
placed,помещенный
movie,фильм
any,любой
strong,сильный
way,путь
country,страна
Mrs,Г-жа
women,женщины
case,дело
